PM10,NO,NO2,NH3,SO2,CO,Ozone,PM2.5
89.9,8.27,7.43,0,26.43,0.37,7.7,0
102.75,7.81,10.09,0,66.81,0.57,31.16,0
87.09,7.58,8.83,0,58.71,0.31,19.35,0
125.81,7.68,8.66,0,37.71,0.29,19.86,0
125.12,7.71,9.06,0,0,0.31,22.16,0
166.97,7.84,9.56,0,0,0.37,29.64,0
107.51,7.89,9.16,0,0,0.3,33.83,0
102.68,7.98,9.72,0,5.23,0.36,20.92,0
133.46,7.79,9.28,0,40.53,0.29,0,0
160.54,7.81,9.62,0,57.43,0.31,30.63,0
123.55,7.97,9,0,20.69,0.31,16.62,0
90.3,7.63,9.36,0,66.86,0.32,18.26,0
206.25,7.74,9.82,0,39.76,0.3,12.72,0
194.3,7.72,9.98,0,103.08,0.44,27.08,0
146.4,7.85,9.49,0,20.66,0.32,50.98,0
93.31,7.51,8.47,0,21.88,0.27,51.34,0
117.97,7.76,9.51,0,38.65,0.36,18.76,0
116.97,7.94,9.55,0,63.4,0.35,47.8,0
109.86,8.02,9.76,0,31.66,0.39,35.63,0
95.41,7.58,8.61,0,61.41,0.29,29.29,0
132.48,7.84,8.66,0,42.98,0.3,37.4,0
150.54,7.46,8.37,0,44.75,0.35,28.52,0
151.64,7.96,9.83,0,80.85,0.45,34.42,0
194.58,7.81,10.16,0,60.01,0.38,14.6,0
137.49,7.98,10.01,0,43.71,0.3,10.22,0
94.89,8.14,9.67,0,24.04,0.29,6.78,0
86.69,8.08,10.4,0,66.16,0.43,9.88,0
76.69,7.95,8.89,0,28.45,0.28,5.91,0
111.25,8.12,10.45,0,75.11,0.43,13.46,0
115.84,8.1,9.28,0,49.1,0.43,10.35,0
129.3,8.17,10.41,0,47.54,0.42,7.37,0
101.75,7.89,9.33,0,74.55,0.4,16.05,0
169.32,7.79,9.82,0,37.15,0.35,11.47,0
199.88,8.06,10.67,0,31.8,0.35,17.06,0
172.49,8.13,8.79,0,30.19,0.38,22.44,0
132.52,7.97,9.59,0,27.54,0.33,10.26,0
114.87,8.18,9.14,0,51.86,0.36,12.46,0
178.26,7.76,9.07,0,53.94,0.39,10.64,0
155.59,7.95,9.87,0,42.63,0.39,6.53,0
102.62,7.74,9.02,0,31.63,0.41,5.77,0
97.98,7.87,10.08,0,50.5,0.34,12.21,0
109.64,7.95,9.76,0,34.46,0.34,5.37,0
82.74,7.73,8.93,0,0,0.4,16.45,0
142.2,7.85,9.26,0,0,0.29,15.22,0
185.55,8.11,9.85,0,62.3,0.42,22.12,0
80.41,0,0,0,19.18,0.35,9.76,0
122.91,14.57,12.2,0,11.94,0.31,8.96,0
107.58,7.93,10.3,0,21.48,0.4,30.12,0
200.91,7.71,9.51,0,14.78,0.31,21.58,0
108.55,7.78,9.75,0,19.49,0.3,15,0
49.88,7.91,9.78,0,16.32,0.31,10.09,0
63.78,7.95,9.29,0,12.13,0.32,11.56,0
102.51,0,0,0,15.43,0,8.15,0
199.69,0,0,0,17.19,0,10.44,0
0,0,0,0,15.2,0,7.8,0
0,0,0,0,26.59,0,3.81,0
0,0,0,0,28.48,0,2.38,0
0,0,0,0,46.42,0,2.08,0
0,0,0,0,0,0,0,0
113.48,0,0,0,1.99,0.19,0,0
23,1.21,1.39,0,3.47,0.09,2.25,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
21.87,3.06,5.1,0,5,0.11,3.58,0
1.16,1.01,1.43,0,4.08,0.03,0.31,0
2.92,1.05,1.77,0,0.44,0.03,1.12,0
0,0,0,0,0,0,0,0
33.95,4.01,6.44,0,3.87,0.15,2.15,0
1.56,0.31,0.52,0,0,0,0.04,0
0,0,0,0,0,0,0,0
9.52,1.63,2.75,0,1.56,0.04,0.92,0
4.03,0.46,1.17,0,0.53,0.01,0.13,0
11.49,1.19,2.56,0,1.34,0.05,0.39,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
58.42,6.04,10.85,0,13.22,0.26,75.41,0
1.73,0.2,0.33,0,0.55,0.01,0.21,0
22.59,3.45,5.4,0,6.06,0.16,0,0
53.96,7.04,11.33,0,12.43,0.34,0,0
52.5,7.06,11.25,0,12,0.36,0,0
0,0,0,0,0,0,0,0
13.3,2.18,3.06,0,2.96,0.09,0,0
25.04,6.93,9.4,0,12.1,0.35,0,0
18.59,6.95,9.56,0,9.48,0.34,0,0
30.84,6.72,9.63,0,9.74,0.29,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
78.32,6.68,176.54,0,47.07,0.24,105.67,0
55.49,6.88,29.14,0,8.51,1.01,0,0
44.26,6.88,8.13,0,9.5,0,0,0
63.22,6.84,8.21,0,10.36,0,0,0
76.41,6.72,8.64,0,14.33,0,0,0
65.07,6.87,8.92,0,25.63,0,0,0
44.78,6.82,8.44,0,23.57,0,0,0
49.18,6.8,7.98,0,11.05,0,0,0
45.72,6.79,7.86,0,12.23,0,0,0
37.07,6.57,7.4,0,12.54,0,0,0
46.12,6.6,7.4,0,15.12,0,0,0
36.69,6.76,7.61,0,13.14,0,0,0
55.5,6.8,7.84,0,10.23,0,0,0
99.35,6.42,8.32,0,12.63,0,0,0
0,0,0,0,0,0,0,0
61.36,6.92,7.71,0,8.72,0,0,0
81.06,6.79,8.08,0,11.1,0.3,0,0
90.51,0,0,0,9.29,0.3,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
47.65,6.19,7.51,0,7.94,0.25,0,0
39.88,5.6,6.57,0,8.47,0.26,0,0
0,0,0,0,0,0,0,0
38.09,7.13,9.07,0,15.96,0.37,0,0
18.84,3.19,3.39,0,5.16,0.13,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,7.63,6.92,0,6.19,0.27,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.5,4.36,3.65,0,12.55,0.23,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
56.6,5.06,6.43,0,20.75,0.38,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
88.19,7.47,7.23,6.76,22.77,0.25,44.77,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
34.7,6.98,7.31,6.54,10.25,0.33,0,0
0,0,0,6.84,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,6.59,0,0,0,0
0,0,0,0,0,0,0,0
185.55,7.68,6.78,6.74,27.51,0.28,19.97,0
0,0,0,6.77,0,0,0,0
0,0,0,6.74,0,0,0,0
77.44,7.2,6.71,6.8,18,0.24,9.08,0
0,0,0,6.71,0,0,0,0
13.7,7.77,6.48,6.94,21.9,0.36,23.28,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,7.14,0,0,0,0
204.26,4.68,4.79,6.53,25.96,0.3,0,0
7.12,0.82,0.34,7.69,2.72,0.02,72.29,0
14.26,0.97,0.83,7.47,1.93,0.02,126.32,0
3.41,0,0,0,1.31,0.02,59.52,0
27.73,0,0,0,10.89,0.1,4.45,0
95.08,8.37,6.46,7.14,33.99,0.19,10.96,0
97.4,8.74,5.17,8.24,52.38,0.4,85.92,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
262.73,7.2,7.47,6.89,39.02,0.37,41.84,0
110.4,8.68,7.74,6.63,33.91,0.37,18.99,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
144.78,7.99,9.13,7.04,31.9,0.35,34.32,0
212.3,9.78,8.99,7.1,89.42,0.37,31.05,0
129.1,8.82,7.65,6.71,89.18,0.45,17.43,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
116.24,7.62,10.08,6.93,63.59,0.25,19.19,0
